Bloque1 | 1.1.1.6.sh | OK |
Bloque1 | 1.1.1.7.sh | OK |
Bloque1 | 1.1.1.8.sh | OK |
Bloque3 | 3.2.1.sh | OK |
Bloque3 | 3.2.2.sh | OK |
Bloque3 | 3.2.3.sh | OK |
Bloque3 | 3.2.4.sh | OK |
Bloque5 | 5.1.8.sh | OK |
Bloque5 | 5.2.4.sh | OK |
Bloque5 | 5.3.3.1.3.sh | OK |
Bloque5 | 5.4.1.2.sh | OK |
Bloque6 | 6.1.AuditClean.sh | OK |
Bloque6 | 6.2.1.1.sh | OK |
Bloque6 | 6.2.1.2.sh | OK |
Bloque6 | 6.2.1.3.sh | OK |
Bloque6 | 6.2.1.4.sh | OK |
Bloque6 | 6.2.2.1.sh | OK |
Bloque6 | 6.2.2.2.sh | OK |
Bloque6 | 6.2.2.3.sh | OK |
Bloque6 | 6.2.2.4.sh | OK |
Bloque6 | 6.2.3.10.sh | OK |
Bloque6 | 6.2.3.11.sh | OK |
Bloque6 | 6.2.3.12.sh | OK |
Bloque6 | 6.2.3.13.sh | OK |
Bloque6 | 6.2.3.14.sh | OK |
Bloque6 | 6.2.3.15.sh | OK |
Bloque6 | 6.2.3.16.sh | OK |
Bloque6 | 6.2.3.17.sh | OK |
Bloque6 | 6.2.3.18.sh | OK |
Bloque6 | 6.2.3.19.sh | OK |
Bloque6 | 6.2.3.1.sh | OK |
Bloque6 | 6.2.3.20.sh | OK |
Bloque6 | 6.2.3.21.sh | OK |
Bloque6 | 6.2.3.2.sh | OK |
Bloque6 | 6.2.3.4.sh | OK |
Bloque6 | 6.2.3.5.sh | OK |
Bloque6 | 6.2.3.6.sh | OK |
Bloque6 | 6.2.3.7.sh | OK |
Bloque6 | 6.2.3.8.sh | OK |
Bloque6 | 6.2.3.9.sh | OK |
Bloque6 | 6.3.3.sh | OK |
Bloque1 | 1.1.1.6.sh | OK |
Bloque1 | 1.1.1.7.sh | OK |
Bloque1 | 1.1.1.8.sh | OK |
Bloque3 | 3.2.1.sh | OK |
Bloque3 | 3.2.2.sh | OK |
Bloque3 | 3.2.3.sh | OK |
Bloque3 | 3.2.4.sh | OK |
Bloque5 | 5.1.8.sh | OK |
Bloque5 | 5.2.4.sh | FAIL | awk: line 2: runaway regular expression /5.2.4.sh ~ ...
Bloque5 | 5.3.3.1.3.sh | OK |
Bloque5 | 5.4.1.2.sh | OK |
Bloque6 | 6.1.AuditClean.sh | OK |
Bloque6 | 6.2.1.1.sh | OK |
Bloque6 | 6.2.1.2.sh | OK |
Bloque6 | 6.2.1.3.sh | OK |
Bloque6 | 6.2.1.4.sh | OK |
Bloque6 | 6.2.2.1.sh | OK |
Bloque6 | 6.2.2.2.sh | OK |
Bloque6 | 6.2.2.3.sh | OK |
Bloque6 | 6.2.2.4.sh | OK |
Bloque6 | 6.2.3.10.sh | OK |
Bloque6 | 6.2.3.11.sh | OK |
Bloque6 | 6.2.3.12.sh | OK |
Bloque6 | 6.2.3.13.sh | OK |
Bloque6 | 6.2.3.14.sh | OK |
Bloque6 | 6.2.3.15.sh | OK |
Bloque6 | 6.2.3.16.sh | OK |
Bloque6 | 6.2.3.17.sh | OK |
Bloque6 | 6.2.3.18.sh | OK |
Bloque6 | 6.2.3.19.sh | OK |
Bloque6 | 6.2.3.1.sh | OK |
Bloque6 | 6.2.3.20.sh | OK |
Bloque6 | 6.2.3.21.sh | OK |
Bloque6 | 6.2.3.2.sh | OK |
Bloque6 | 6.2.3.4.sh | OK |
Bloque6 | 6.2.3.5.sh | OK |
Bloque6 | 6.2.3.6.sh | OK |
Bloque6 | 6.2.3.7.sh | OK |
Bloque6 | 6.2.3.8.sh | OK |
Bloque6 | 6.2.3.9.sh | OK |
Bloque6 | 6.3.3.sh | OK |
